Status,Name,Region,Country,Continent,Site(ac),Area(sq ft),High(ft),Announcement,Groundbreaking,Groundbreakingby,Dedication,Dedicationby,Rms(1),Rms(2),Center(3),Food(4),Style,Designer
1Closed for renovation,St. George Utah Temple edit,Utah,United States,North America,6,110000,175,"January 31, 1871","November 9, 1871",Brigham Young,"April 6, 1877",Daniel H. Wells,3,18,Available,Available,Castellated Gothic,Truman O. Angell
2Operating,Logan Utah Temple edit,Utah,United States,North America,9,119619,170,1863,"May 17, 1877",John Willard Young,"May 17, 1884",John Taylor,4,11,Not available,Available,Castellated Gothic,Truman O. Angell
3Closed for renovation,Manti Utah Temple edit,Utah,United States,North America,27,100373,179,"June 25, 1875","April 25, 1877",Brigham Young,"May 21, 1888",Lorenzo Snow,4,8,Not available,Available,,William H. Folsom
4Closed for renovation,Salt Lake Temple edit,Utah,United States,North America,10,253015,222,"July 28, 1847","February 14, 1853",Brigham Young,"April 6, 1893",Wilford Woodruff,4,12,Temple Square,Available,"Gothic, 6-spire",Truman O. Angell
5Operating,Laie Hawaii Temple edit,Hawaii,United States,North America,11.4,42100,0,"October 1, 1915","June 1, 1915",Joseph F. Smith,"November 27, 1919",Heber J. Grant,4,6,Available,Available,"inspired by Solomon's Temple, no spire. Prairie-style and Columbian",Hyrum Pope and Harold Burton
6Operating,Cardston Alberta Temple edit,Alberta,Canada,North America,10,88562,85,27 June 1913,13 November 1913,Daniel Kent Greene,26 August 1923,Heber J. Grant,4,5,Yes,Yes,,Hyrum Pope and Harold Burton
7Rededication scheduled,Mesa Arizona Temple edit,Arizona,United States,North America,20,113916,50,"October 3, 1919","April 25, 1922",Heber J. Grant,"October 23, 1927",Heber J. Grant,4,9,Yes,Full,Neoclassical Architecture,"Don Carlos Young, Jr. and Ramm Hansen"
8Operating,Idaho Falls Idaho Temple edit,Idaho,United States,North America,7,116250,143,"March 3, 1937","December 19, 1939",David Asael Smith,"September 23, 1945",George Albert Smith,4,9,Yes,Full,"Modern, center spire","John Fetzer, Sr."
9Operating,Bern Switzerland Temple edit,Bern,Switzerland,Europe,7,35546,140,1 July 1952,5 August 1953,David O. McKay,11 September 1955,David O. McKay,4,7,No,Limited,"Modern, single spire",Edward O. Anderson
10Operating,Los Angeles California Temple edit,California,United States,North America,13,190614,257,"March 6, 1937","September 22, 1951",David O. McKay,"March 11, 1956",David O. McKay,4,10,Yes,Full,,Edward O. Anderson
11Closed for renovation,Hamilton New Zealand Temple edit,Waikato,New Zealand,Oceania,86,44212,157,17 February 1955,21 December 1955,"Ariel Ballif, Wendell B. Mendenhall, and George R. Biesinger",20 April 1958,David O. McKay,1,3,Yes,Full,"Modern, single spire",Edward O. Anderson
12Operating,London England Temple edit,South East England,United Kingdom,Europe,32,42652,190,17 February 1955,27 August 1955,David O. McKay,7 September 1958,David O. McKay,4,7,Yes,Full,"Modern, single spire",Edward O. Anderson
13Operating,Oakland California Temple edit,California,United States,North America,18.1,80157,170,"May 26, 1962","May 26, 1962",David O. McKay,"November 17, 1964",David O. McKay,4,7,Yes,Full,"Modern, 5 spire",Harold W. Burton
14Operating,Ogden Utah Temple edit,Utah,United States,North America,9.96,112232,180,"August 24, 1967","September 8, 1969",Hugh B. Brown,"January 18, 1972",Joseph Fielding Smith,6,11,No,Full,,Emil B. Fetzer
15Operating,Provo Utah Temple edit,Utah,United States,North America,17,128325,175,"August 14, 1967","September 15, 1969",Hugh B. Brown,"February 9, 1972",Joseph Fielding Smith,6,12,No,Full,"Modern, center spire",Emil B. Fetzer
16Rededication scheduled,Washington D.C. Temple edit,Maryland,United States,North America,52,160000,288,"November 15, 1968","December 7, 1968",Hugh B. Brown,"November 19, 1974",Spencer W. Kimball,6,14,Yes,No,Modern six-spire design,Harold K. BeecherEmil B. FetzerHenry P. FetzerFred L. MarkhamKeith W. Wilcox
17Operating,São Paulo Brazil Temple edit,São Paulo,Brazil,South America,1.85,59246,0,1 March 1975,20 March 1976,James E. Faust,30 October 1978,Spencer W. Kimball,2,4,No,Full,"Modern, single spire",Emil B. Fetzer
18Closed for renovation,Tokyo Japan Temple edit,Tokyo,Japan,Asia,0.46,52590,178,9 August 1975,10 April 1978,,27 October 1980,Spencer W. Kimball,2,5,No,Full,"Modern, single spire",Emil B. Fetzer
19Operating,Seattle Washington Temple edit,Washington,United States,North America,23.5,110000,179,"November 15, 1975","May 27, 1978",Marion G. Romney,"November 17, 1980",Spencer W. Kimball,4,13,No,Yes,"Modern, single spire",Emil B. Fetzer
20Operating,Jordan River Utah Temple edit,Utah,United States,North America,15,148236,219,"February 3, 1978","June 9, 1979",Spencer W. Kimball,"November 16, 1981",Marion G. Romney,6,17,No,Full,"Modern, center spire",Emil B. Fetzer
21Operating,Atlanta Georgia Temple edit,Georgia,United States,North America,9.6,34500,92,"April 2, 1980","March 7, 1981",Spencer W. Kimball,"June 1, 1983",Gordon B. Hinckley,4,5,No,Limited,"Modern, single spire",Emil B. Fetzer
22Operating,Apia Samoa Templeedit,Tuamasaga,Samoa,Oceania,2,18691,75,"October 15, 1977","October 19, 2003",Dennis E. Simmons,"August 5, 1983",Gordon B. Hinckley,2,2,No,No,"Classic Modern, single spire","Naylor, Wentworth, Lund"
23Operating,Nuku'alofa Tonga Temple edit,Tongatapu,Tonga,Oceania,1.2,21184,0,2 April 1980,18 February 1981,Spencer W. Kimball,9 August 1983,Gordon B. Hinckley,2,3,No,No,"Modern, single-spire design",Emil B. Fetzer
24Operating,Santiago Chile Temple edit,Santiago,Chile,South America,2.61,20831,76,2 April 1980,30 May 1981,Spencer W. Kimball,15 September 1983,Gordon B. Hinckley,2,3,No,No,"Modern, single-spire",Emil B. Fetzer
25Operating,Papeete Tahiti Temple edit,Windward Islands,French Polynesia,Oceania,1.7,12150,66,2 April 1980,13 February 1981,Spencer W. Kimball,27 October 1983,Gordon B. Hinckley,2,2,No,No,"Sloping roof, single spire",Emil B. Fetzer
26Operating,Mexico City Mexico Temple edit,Mexico City,Mexico,North America,7,116642,152,3 April 1976,25 November 1979,Boyd K. Packer,2 December 1983,Gordon B. Hinckley,4,11,Yes,Full,"Modern Mayan, single spire",Emil B. Fetzer
27Operating,Boise Idaho Temple edit,Idaho,United States,North America,4.83,35868,112,"March 31, 1982","December 18, 1982",Mark E. Petersen,"May 25, 1984",Gordon B. Hinckley,4,4,No,None,"Sloping roof, six spire",Church A&E Services
28Operating,Sydney Australia Temple edit,New South Wales,Australia,Oceania,3,30677,0,2 April 1980,13 August 1982,Bruce R. McConkie,20 September 1984,Gordon B. Hinckley,2,3,No,Full,"Modern, single spire",Emil B. Fetzer and R. Lindsay Little
29Operating,Manila Philippines Temple edit,Metro Manila,Philippines,Asia,3.5,26683,115,1 April 1981,25 August 1982,Gordon B. Hinckley,25 September 1984,Gordon B. Hinckley,4,3,No,No,"Sloping roof, six spire",Church A&E Services with Felipe M. Mendoza & Partners
30Operating,Dallas Texas Temple edit,Texas,United States,North America,6,44207,95,"April 1, 1981","January 22, 1983",Gordon B. Hinckley,"October 19, 1984",Gordon B. Hinckley,5,4,No,Full,"Sloping roof, six spire",Church A&E Services and West & Humphries
